Sampler,Model,FPR,TPR
Baseline,Logistic Regression (Default),0.0,0.0
Baseline,Logistic Regression (Default),0.0,0.012658227848101266
Baseline,Logistic Regression (Default),0.0,0.27848101265822783
Baseline,Logistic Regression (Default),0.014084507042253521,0.27848101265822783
Baseline,Logistic Regression (Default),0.014084507042253521,0.5822784810126582
Baseline,Logistic Regression (Default),0.028169014084507043,0.5822784810126582
Baseline,Logistic Regression (Default),0.028169014084507043,0.5949367088607594
Baseline,Logistic Regression (Default),0.056338028169014086,0.5949367088607594
Baseline,Logistic Regression (Default),0.056338028169014086,0.7974683544303798
Baseline,Logistic Regression (Default),0.07042253521126761,0.7974683544303798
Baseline,Logistic Regression (Default),0.07042253521126761,0.8481012658227848
Baseline,Logistic Regression (Default),0.08450704225352113,0.8481012658227848
Baseline,Logistic Regression (Default),0.08450704225352113,0.9113924050632911
Baseline,Logistic Regression (Default),0.09859154929577464,0.9113924050632911
Baseline,Logistic Regression (Default),0.09859154929577464,0.9240506329113924
Baseline,Logistic Regression (Default),0.1267605633802817,0.9240506329113924
Baseline,Logistic Regression (Default),0.1267605633802817,0.9367088607594937
Baseline,Logistic Regression (Default),0.14084507042253522,0.9367088607594937
Baseline,Logistic Regression (Default),0.14084507042253522,0.9493670886075949
Baseline,Logistic Regression (Default),0.19718309859154928,0.9493670886075949
Baseline,Logistic Regression (Default),0.19718309859154928,0.9620253164556962
Baseline,Logistic Regression (Default),0.2112676056338028,0.9620253164556962
Baseline,Logistic Regression (Default),0.2112676056338028,0.9746835443037974
Baseline,Logistic Regression (Default),0.29577464788732394,0.9746835443037974
Baseline,Logistic Regression (Default),0.29577464788732394,1.0
Baseline,Logistic Regression (Default),1.0,1.0
Baseline,Decision Tree (Default),0.0,0.0
Baseline,Decision Tree (Default),0.09859154929577464,0.8227848101265823
Baseline,Decision Tree (Default),1.0,1.0
Baseline,Random Forest (Default),0.0,0.0
Baseline,Random Forest (Default),0.0,0.012658227848101266
Baseline,Random Forest (Default),0.0,0.06329113924050633
Baseline,Random Forest (Default),0.0,0.10126582278481013
Baseline,Random Forest (Default),0.0,0.16455696202531644
Baseline,Random Forest (Default),0.0,0.189873417721519
Baseline,Random Forest (Default),0.0,0.20253164556962025
Baseline,Random Forest (Default),0.0,0.25316455696202533
Baseline,Random Forest (Default),0.028169014084507043,0.26582278481012656
Baseline,Random Forest (Default),0.028169014084507043,0.3037974683544304
Baseline,Random Forest (Default),0.04225352112676056,0.31645569620253167
Baseline,Random Forest (Default),0.04225352112676056,0.35443037974683544
Baseline,Random Forest (Default),0.04225352112676056,0.379746835443038
Baseline,Random Forest (Default),0.04225352112676056,0.3924050632911392
Baseline,Random Forest (Default),0.04225352112676056,0.43037974683544306
Baseline,Random Forest (Default),0.04225352112676056,0.46835443037974683
Baseline,Random Forest (Default),0.04225352112676056,0.5063291139240507
Baseline,Random Forest (Default),0.04225352112676056,0.5443037974683544
Baseline,Random Forest (Default),0.04225352112676056,0.569620253164557
Baseline,Random Forest (Default),0.04225352112676056,0.5822784810126582
Baseline,Random Forest (Default),0.04225352112676056,0.6329113924050633
Baseline,Random Forest (Default),0.04225352112676056,0.6708860759493671
Baseline,Random Forest (Default),0.04225352112676056,0.6962025316455697
Baseline,Random Forest (Default),0.04225352112676056,0.7088607594936709
Baseline,Random Forest (Default),0.04225352112676056,0.7341772151898734
Baseline,Random Forest (Default),0.04225352112676056,0.7721518987341772
Baseline,Random Forest (Default),0.056338028169014086,0.7721518987341772
Baseline,Random Forest (Default),0.056338028169014086,0.8227848101265823
Baseline,Random Forest (Default),0.07042253521126761,0.8354430379746836
Baseline,Random Forest (Default),0.07042253521126761,0.8607594936708861
Baseline,Random Forest (Default),0.08450704225352113,0.8607594936708861
Baseline,Random Forest (Default),0.09859154929577464,0.8734177215189873
Baseline,Random Forest (Default),0.09859154929577464,0.8860759493670886
Baseline,Random Forest (Default),0.11267605633802817,0.8860759493670886
Baseline,Random Forest (Default),0.15492957746478872,0.9240506329113924
Baseline,Random Forest (Default),0.15492957746478872,0.9367088607594937
Baseline,Random Forest (Default),0.16901408450704225,0.9493670886075949
Baseline,Random Forest (Default),0.18309859154929578,0.9493670886075949
Baseline,Random Forest (Default),0.19718309859154928,0.9746835443037974
Baseline,Random Forest (Default),0.22535211267605634,0.9746835443037974
Baseline,Random Forest (Default),0.23943661971830985,0.9746835443037974
Baseline,Random Forest (Default),0.23943661971830985,1.0
Baseline,Random Forest (Default),0.28169014084507044,1.0
Baseline,Random Forest (Default),0.36619718309859156,1.0
Baseline,Random Forest (Default),0.39436619718309857,1.0
Baseline,Random Forest (Default),0.4225352112676056,1.0
Baseline,Random Forest (Default),0.5070422535211268,1.0
Baseline,Random Forest (Default),0.5352112676056338,1.0
Baseline,Random Forest (Default),0.5633802816901409,1.0
Baseline,Random Forest (Default),0.6056338028169014,1.0
Baseline,Random Forest (Default),0.6619718309859155,1.0
Baseline,Random Forest (Default),0.676056338028169,1.0
Baseline,Random Forest (Default),0.8028169014084507,1.0
Baseline,Random Forest (Default),1.0,1.0
Baseline,K-Nearest Neighbors (Default),0.0,0.0
Baseline,K-Nearest Neighbors (Default),0.028169014084507043,0.43037974683544306
Baseline,K-Nearest Neighbors (Default),0.056338028169014086,0.6835443037974683
Baseline,K-Nearest Neighbors (Default),0.09859154929577464,0.8481012658227848
Baseline,K-Nearest Neighbors (Default),0.19718309859154928,0.9113924050632911
Baseline,K-Nearest Neighbors (Default),0.36619718309859156,0.9873417721518988
Baseline,K-Nearest Neighbors (Default),1.0,1.0
Baseline,Support Vector Machine (Default),0.0,0.0
Baseline,Support Vector Machine (Default),0.0,0.012658227848101266
Baseline,Support Vector Machine (Default),0.0,0.11392405063291139
Baseline,Support Vector Machine (Default),0.014084507042253521,0.11392405063291139
Baseline,Support Vector Machine (Default),0.014084507042253521,0.3924050632911392
Baseline,Support Vector Machine (Default),0.028169014084507043,0.3924050632911392
Baseline,Support Vector Machine (Default),0.028169014084507043,0.43037974683544306
Baseline,Support Vector Machine (Default),0.04225352112676056,0.43037974683544306
Baseline,Support Vector Machine (Default),0.04225352112676056,0.7721518987341772
Baseline,Support Vector Machine (Default),0.056338028169014086,0.7721518987341772
Baseline,Support Vector Machine (Default),0.056338028169014086,0.7848101265822784
Baseline,Support Vector Machine (Default),0.07042253521126761,0.7848101265822784
Baseline,Support Vector Machine (Default),0.07042253521126761,0.8860759493670886
Baseline,Support Vector Machine (Default),0.08450704225352113,0.8860759493670886
Baseline,Support Vector Machine (Default),0.08450704225352113,0.9240506329113924
Baseline,Support Vector Machine (Default),0.11267605633802817,0.9240506329113924
Baseline,Support Vector Machine (Default),0.11267605633802817,0.9367088607594937
Baseline,Support Vector Machine (Default),0.1267605633802817,0.9367088607594937
Baseline,Support Vector Machine (Default),0.1267605633802817,0.9493670886075949
Baseline,Support Vector Machine (Default),0.14084507042253522,0.9493670886075949
Baseline,Support Vector Machine (Default),0.14084507042253522,0.9620253164556962
Baseline,Support Vector Machine (Default),0.16901408450704225,0.9620253164556962
Baseline,Support Vector Machine (Default),0.16901408450704225,0.9746835443037974
Baseline,Support Vector Machine (Default),0.3380281690140845,0.9746835443037974
Baseline,Support Vector Machine (Default),0.3380281690140845,0.9873417721518988
Baseline,Support Vector Machine (Default),0.7323943661971831,0.9873417721518988
Baseline,Support Vector Machine (Default),0.7323943661971831,1.0
Baseline,Support Vector Machine (Default),1.0,1.0
Baseline,AdaBoost (Default),0.0,0.0
Baseline,AdaBoost (Default),0.0,0.012658227848101266
Baseline,AdaBoost (Default),0.0,0.16455696202531644
Baseline,AdaBoost (Default),0.0,0.189873417721519
Baseline,AdaBoost (Default),0.0,0.22784810126582278
Baseline,AdaBoost (Default),0.014084507042253521,0.22784810126582278
Baseline,AdaBoost (Default),0.014084507042253521,0.27848101265822783
Baseline,AdaBoost (Default),0.014084507042253521,0.31645569620253167
Baseline,AdaBoost (Default),0.014084507042253521,0.3670886075949367
Baseline,AdaBoost (Default),0.014084507042253521,0.3924050632911392
Baseline,AdaBoost (Default),0.014084507042253521,0.4177215189873418
Baseline,AdaBoost (Default),0.014084507042253521,0.4430379746835443
Baseline,AdaBoost (Default),0.014084507042253521,0.4810126582278481
Baseline,AdaBoost (Default),0.014084507042253521,0.5316455696202531
Baseline,AdaBoost (Default),0.014084507042253521,0.5443037974683544
Baseline,AdaBoost (Default),0.014084507042253521,0.569620253164557
Baseline,AdaBoost (Default),0.014084507042253521,0.6582278481012658
Baseline,AdaBoost (Default),0.028169014084507043,0.6582278481012658
Baseline,AdaBoost (Default),0.028169014084507043,0.6835443037974683
Baseline,AdaBoost (Default),0.028169014084507043,0.7088607594936709
Baseline,AdaBoost (Default),0.056338028169014086,0.7088607594936709
Baseline,AdaBoost (Default),0.07042253521126761,0.7088607594936709
Baseline,AdaBoost (Default),0.07042253521126761,0.8354430379746836
Baseline,AdaBoost (Default),0.08450704225352113,0.8354430379746836
Baseline,AdaBoost (Default),0.08450704225352113,0.8607594936708861
Baseline,AdaBoost (Default),0.09859154929577464,0.8607594936708861
Baseline,AdaBoost (Default),0.09859154929577464,0.8860759493670886
Baseline,AdaBoost (Default),0.11267605633802817,0.8860759493670886
Baseline,AdaBoost (Default),0.11267605633802817,0.8987341772151899
Baseline,AdaBoost (Default),0.15492957746478872,0.8987341772151899
Baseline,AdaBoost (Default),0.15492957746478872,0.9240506329113924
Baseline,AdaBoost (Default),0.15492957746478872,0.9367088607594937
Baseline,AdaBoost (Default),0.16901408450704225,0.9367088607594937
Baseline,AdaBoost (Default),0.16901408450704225,0.9746835443037974
Baseline,AdaBoost (Default),0.22535211267605634,0.9746835443037974
Baseline,AdaBoost (Default),0.22535211267605634,0.9873417721518988
Baseline,AdaBoost (Default),0.323943661971831,0.9873417721518988
Baseline,AdaBoost (Default),0.323943661971831,1.0
Baseline,AdaBoost (Default),0.4225352112676056,1.0
Baseline,AdaBoost (Default),0.5211267605633803,1.0
Baseline,AdaBoost (Default),0.6197183098591549,1.0
Baseline,AdaBoost (Default),0.647887323943662,1.0
Baseline,AdaBoost (Default),0.676056338028169,1.0
Baseline,AdaBoost (Default),0.704225352112676,1.0
Baseline,AdaBoost (Default),0.7746478873239436,1.0
Baseline,AdaBoost (Default),0.8028169014084507,1.0
Baseline,AdaBoost (Default),1.0,1.0
Baseline,Gradient Boosting (Default),0.0,0.0
Baseline,Gradient Boosting (Default),0.0,0.012658227848101266
Baseline,Gradient Boosting (Default),0.0,0.31645569620253167
Baseline,Gradient Boosting (Default),0.014084507042253521,0.31645569620253167
Baseline,Gradient Boosting (Default),0.014084507042253521,0.5443037974683544
Baseline,Gradient Boosting (Default),0.028169014084507043,0.5443037974683544
Baseline,Gradient Boosting (Default),0.028169014084507043,0.5949367088607594
Baseline,Gradient Boosting (Default),0.04225352112676056,0.5949367088607594
Baseline,Gradient Boosting (Default),0.04225352112676056,0.7341772151898734
Baseline,Gradient Boosting (Default),0.056338028169014086,0.7341772151898734
Baseline,Gradient Boosting (Default),0.056338028169014086,0.8481012658227848
Baseline,Gradient Boosting (Default),0.08450704225352113,0.8481012658227848
Baseline,Gradient Boosting (Default),0.08450704225352113,0.8987341772151899
Baseline,Gradient Boosting (Default),0.09859154929577464,0.8987341772151899
Baseline,Gradient Boosting (Default),0.09859154929577464,0.9113924050632911
Baseline,Gradient Boosting (Default),0.11267605633802817,0.9113924050632911
Baseline,Gradient Boosting (Default),0.11267605633802817,0.9240506329113924
Baseline,Gradient Boosting (Default),0.14084507042253522,0.9240506329113924
Baseline,Gradient Boosting (Default),0.14084507042253522,0.9493670886075949
Baseline,Gradient Boosting (Default),0.15492957746478872,0.9493670886075949
Baseline,Gradient Boosting (Default),0.15492957746478872,0.9746835443037974
Baseline,Gradient Boosting (Default),0.352112676056338,0.9746835443037974
Baseline,Gradient Boosting (Default),0.352112676056338,0.9873417721518988
Baseline,Gradient Boosting (Default),0.38028169014084506,0.9873417721518988
Baseline,Gradient Boosting (Default),0.38028169014084506,1.0
Baseline,Gradient Boosting (Default),1.0,1.0
Baseline,Stacking + Linear Regression,0.0,0.0
Baseline,Stacking + Linear Regression,0.0,0.012658227848101266
Baseline,Stacking + Linear Regression,0.014084507042253521,0.012658227848101266
Baseline,Stacking + Linear Regression,0.014084507042253521,0.4177215189873418
Baseline,Stacking + Linear Regression,0.04225352112676056,0.4177215189873418
Baseline,Stacking + Linear Regression,0.04225352112676056,0.7974683544303798
Baseline,Stacking + Linear Regression,0.056338028169014086,0.7974683544303798
Baseline,Stacking + Linear Regression,0.056338028169014086,0.8227848101265823
Baseline,Stacking + Linear Regression,0.07042253521126761,0.8227848101265823
Baseline,Stacking + Linear Regression,0.07042253521126761,0.8481012658227848
Baseline,Stacking + Linear Regression,0.08450704225352113,0.8481012658227848
Baseline,Stacking + Linear Regression,0.08450704225352113,0.9240506329113924
Baseline,Stacking + Linear Regression,0.15492957746478872,0.9240506329113924
Baseline,Stacking + Linear Regression,0.15492957746478872,0.9620253164556962
Baseline,Stacking + Linear Regression,0.19718309859154928,0.9620253164556962
Baseline,Stacking + Linear Regression,0.19718309859154928,0.9873417721518988
Baseline,Stacking + Linear Regression,0.352112676056338,0.9873417721518988
Baseline,Stacking + Linear Regression,0.352112676056338,1.0
Baseline,Stacking + Linear Regression,1.0,1.0
Baseline,Stacking + Default MLP,0.0,0.0
Baseline,Stacking + Default MLP,0.0,0.012658227848101266
Baseline,Stacking + Default MLP,0.0,0.35443037974683544
Baseline,Stacking + Default MLP,0.014084507042253521,0.35443037974683544
Baseline,Stacking + Default MLP,0.014084507042253521,0.4050632911392405
Baseline,Stacking + Default MLP,0.04225352112676056,0.4050632911392405
Baseline,Stacking + Default MLP,0.04225352112676056,0.7848101265822784
Baseline,Stacking + Default MLP,0.056338028169014086,0.7848101265822784
Baseline,Stacking + Default MLP,0.056338028169014086,0.8227848101265823
Baseline,Stacking + Default MLP,0.07042253521126761,0.8227848101265823
Baseline,Stacking + Default MLP,0.07042253521126761,0.8354430379746836
Baseline,Stacking + Default MLP,0.08450704225352113,0.8354430379746836
Baseline,Stacking + Default MLP,0.08450704225352113,0.9113924050632911
Baseline,Stacking + Default MLP,0.09859154929577464,0.9113924050632911
