Sampler,Base Models Training Time (seconds),Meta Model Training Time (seconds),Total Training Time (seconds)
TPE,53.734062910079956,193.78354024887085,247.5176031589508
GP,182.44605374336243,120.7078058719635,303.1538596153259
CMA-ES,52.41893029212952,115.981924533844,168.4008548259735
QMC,48.39629054069519,93.4653947353363,141.8616852760315
