iteration,score
1,0.8333333333333334
2,0.9
3,0.9
4,0.9166666666666666
5,0.9
6,0.9
7,0.9
8,0.8666666666666667
9,0.8666666666666667
10,0.8833333333333333
11,0.9
12,0.9
13,0.9333333333333333
14,0.9
15,0.9
16,0.8666666666666667
17,0.8666666666666667
18,0.9
19,0.9
20,0.9
21,0.8666666666666667
22,0.9
23,0.9
24,0.9
25,0.9166666666666666
26,0.9
27,0.9
28,0.0
29,0.8833333333333333
30,0.8666666666666667
31,0.9333333333333333
32,0.9
33,0.8833333333333333
34,0.9
35,0.8833333333333333
36,0.9
37,0.8833333333333333
38,0.8833333333333333
39,0.9
40,0.9
41,0.8833333333333333
42,0.0
43,0.8833333333333333
44,0.9
45,0.8666666666666667
46,0.9
47,0.8833333333333333
48,0.9166666666666666
49,0.9
50,0.9
51,0.9166666666666666
52,0.9
53,0.8666666666666667
54,0.9
55,0.8666666666666667
56,0.9
57,0.8666666666666667
58,0.9
59,0.8833333333333333
60,0.8833333333333333
61,0.0
62,0.9
63,0.9
64,0.0
65,0.8666666666666667
66,0.9
67,0.8833333333333333
68,0.8833333333333333
69,0.9
70,0.9
71,0.8833333333333333
72,0.9
73,0.9
74,0.0
75,0.9166666666666666
76,0.0
77,0.9166666666666666
78,0.8666666666666667
79,0.8833333333333333
80,0.9
81,0.9166666666666666
82,0.0
83,0.9
84,0.8833333333333333
85,0.9
86,0.8833333333333333
87,0.9
88,0.9
89,0.8666666666666667
90,0.8833333333333333
91,0.7333333333333333
92,0.8833333333333333
93,0.8833333333333333
94,0.8833333333333333
95,0.0
96,0.9
97,0.8833333333333333
98,0.9
99,0.8833333333333333
100,0.9166666666666666
