iteration,score
1,0.8933333333333333
2,0.9133333333333333
3,0.9133333333333333
4,0.9133333333333333
5,0.9
6,0.9133333333333333
7,0.9
8,0.8933333333333333
9,0.0
10,0.9
11,0.9133333333333333
12,0.8866666666666667
13,0.9066666666666666
14,0.9133333333333333
15,0.9066666666666666
16,0.9133333333333333
17,0.9133333333333333
18,0.0
19,0.9066666666666666
20,0.9066666666666666
21,0.9133333333333333
22,0.9066666666666666
23,0.9133333333333333
24,0.9066666666666666
25,0.9133333333333333
26,0.9066666666666666
27,0.8933333333333333
28,0.8933333333333333
29,0.9
30,0.8933333333333333
31,0.9
32,0.9133333333333333
33,0.9133333333333333
34,0.9066666666666666
35,0.92
36,0.8933333333333333
37,0.9
38,0.0
39,0.8933333333333333
40,0.9133333333333333
41,0.9133333333333333
42,0.9133333333333333
43,0.9066666666666666
44,0.9133333333333333
45,0.9
46,0.9
47,0.92
48,0.8866666666666667
49,0.9266666666666666
50,0.9133333333333333
51,0.8866666666666667
52,0.9133333333333333
53,0.9133333333333333
54,0.92
55,0.9133333333333333
56,0.88
57,0.9133333333333333
58,0.92
59,0.8933333333333333
60,0.8933333333333333
61,0.9133333333333333
62,0.9133333333333333
63,0.8866666666666667
64,0.9
65,0.9066666666666666
66,0.9133333333333333
67,0.9
68,0.9133333333333333
69,0.92
70,0.92
71,0.92
72,0.92
73,0.92
74,0.92
75,0.92
76,0.9133333333333333
77,0.9066666666666666
78,0.92
79,0.92
80,0.9133333333333333
81,0.9133333333333333
82,0.9133333333333333
83,0.92
84,0.9133333333333333
85,0.9133333333333333
86,0.9066666666666666
87,0.92
88,0.92
89,0.9
90,0.9133333333333333
91,0.9
92,0.92
93,0.92
94,0.92
95,0.92
96,0.9133333333333333
97,0.8666666666666667
98,0.9133333333333333
99,0.9133333333333333
100,0.9133333333333333
