iteration,score
1,0.9066666666666666
2,0.9133333333333333
3,0.92
4,0.9133333333333333
5,0.9133333333333333
6,0.9266666666666666
7,0.8933333333333333
8,0.9133333333333333
9,0.0
10,0.9133333333333333
11,0.92
12,0.8666666666666667
13,0.9133333333333333
14,0.9133333333333333
15,0.92
16,0.92
17,0.9133333333333333
18,0.9133333333333333
19,0.9
20,0.9133333333333333
21,0.92
22,0.9133333333333333
23,0.92
24,0.9066666666666666
25,0.92
26,0.0
27,0.9133333333333333
28,0.9
29,0.9
30,0.92
31,0.88
32,0.92
33,0.0
34,0.9133333333333333
35,0.92
36,0.9066666666666666
37,0.9133333333333333
38,0.92
39,0.9066666666666666
40,0.9133333333333333
41,0.9133333333333333
42,0.9133333333333333
43,0.9066666666666666
44,0.92
45,0.9066666666666666
46,0.9066666666666666
47,0.92
48,0.9133333333333333
49,0.92
50,0.92
51,0.92
52,0.9266666666666666
53,0.8866666666666667
54,0.9133333333333333
55,0.0
56,0.9133333333333333
57,0.9133333333333333
58,0.88
59,0.8933333333333333
60,0.9066666666666666
61,0.9133333333333333
62,0.0
63,0.92
64,0.9133333333333333
65,0.9133333333333333
66,0.92
67,0.9066666666666666
68,0.92
69,0.9133333333333333
70,0.9133333333333333
71,0.9066666666666666
72,0.92
73,0.92
74,0.9133333333333333
75,0.9066666666666666
76,0.92
77,0.8933333333333333
78,0.0
79,0.92
80,0.9066666666666666
81,0.9133333333333333
82,0.9133333333333333
83,0.8933333333333333
84,0.92
85,0.9
86,0.9066666666666666
87,0.92
88,0.9133333333333333
89,0.9066666666666666
90,0.92
91,0.9133333333333333
92,0.9133333333333333
93,0.9133333333333333
94,0.9133333333333333
95,0.92
96,0.9133333333333333
97,0.9133333333333333
98,0.9133333333333333
99,0.9133333333333333
100,0.9066666666666666
