Sampler,Model,Accuracy,Precision,Recall,F1-Score,AUC
Baseline,Logistic Regression (Default),0.8833333333333333,0.84,0.875,0.8571428571428571,0.9513888888888888
Baseline,Decision Tree (Default),0.8166666666666667,0.7096774193548387,0.9166666666666666,0.8,0.8333333333333334
Baseline,Random Forest (Default),0.8666666666666667,0.8076923076923077,0.875,0.84,0.9571759259259259
Baseline,K-Nearest Neighbors (Default),0.8833333333333333,0.84,0.875,0.8571428571428571,0.9456018518518519
Baseline,Support Vector Machine (Default),0.9,0.8461538461538461,0.9166666666666666,0.88,0.9560185185185185
Baseline,AdaBoost (Default),0.8833333333333333,0.8148148148148148,0.9166666666666666,0.8627450980392157,0.9085648148148147
Baseline,Gradient Boosting (Default),0.8333333333333334,0.7692307692307693,0.8333333333333334,0.8,0.9050925925925926
Baseline,Stacking + Linear Regression,0.8833333333333333,0.8148148148148148,0.9166666666666666,0.8627450980392157,0.9641203703703703
Baseline,Stacking + Default MLP,0.8833333333333333,0.8148148148148148,0.9166666666666666,0.8627450980392157,0.9606481481481481
TPE,Logistic Regression,0.8833333333333333,0.84,0.875,0.8571428571428571,0.9641203703703703
TPE,Decision Tree,0.7333333333333333,0.6428571428571429,0.75,0.6923076923076923,0.8449074074074074
TPE,Random Forest,0.8833333333333333,0.84,0.875,0.8571428571428571,0.9537037037037037
TPE,K-Nearest Neighbors,0.8833333333333333,0.9047619047619048,0.7916666666666666,0.8444444444444444,0.9438657407407408
TPE,Support Vector Machine,0.7833333333333333,0.9230769230769231,0.5,0.6486486486486487,0.9513888888888888
TPE,AdaBoost,0.9166666666666666,0.88,0.9166666666666666,0.8979591836734694,0.951388888888889
TPE,Gradient Boosting,0.8666666666666667,0.9,0.75,0.8181818181818182,0.9606481481481483
TPE,SEL-NNML,0.9166666666666666,0.9130434782608695,0.875,0.8936170212765957,0.954861111111111
GP,Logistic Regression,0.8833333333333333,0.84,0.875,0.8571428571428571,0.9641203703703703
GP,Decision Tree,0.8,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.902199074074074
GP,Random Forest,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9571759259259258
GP,K-Nearest Neighbors,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9438657407407407
GP,Support Vector Machine,0.7833333333333333,0.9230769230769231,0.5,0.6486486486486487,0.9513888888888888
GP,AdaBoost,0.9166666666666666,0.88,0.9166666666666666,0.8979591836734694,0.951388888888889
GP,Gradient Boosting,0.8833333333333333,0.8695652173913043,0.8333333333333334,0.851063829787234,0.9606481481481481
GP,SEL-NNML,0.9166666666666666,0.9130434782608695,0.875,0.8936170212765957,0.954861111111111
CMA-ES,Logistic Regression,0.8833333333333333,0.84,0.875,0.8571428571428571,0.9641203703703703
CMA-ES,Decision Tree,0.75,0.7142857142857143,0.625,0.6666666666666666,0.8553240740740742
CMA-ES,Random Forest,0.8833333333333333,0.84,0.875,0.8571428571428571,0.9560185185185185
CMA-ES,K-Nearest Neighbors,0.9166666666666666,0.9130434782608695,0.875,0.8936170212765957,0.9519675925925926
CMA-ES,Support Vector Machine,0.7833333333333333,0.9230769230769231,0.5,0.6486486486486487,0.9513888888888888
CMA-ES,AdaBoost,0.85,0.7586206896551724,0.9166666666666666,0.8301886792452831,0.9340277777777778
CMA-ES,Gradient Boosting,0.8833333333333333,0.8695652173913043,0.8333333333333334,0.851063829787234,0.9571759259259259
CMA-ES,SEL-NNML,0.9333333333333333,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.962962962962963
QMC,Logistic Regression,0.8833333333333333,0.84,0.875,0.8571428571428571,0.9641203703703703
QMC,Decision Tree,0.8,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.902199074074074
QMC,Random Forest,0.8666666666666667,0.8076923076923077,0.875,0.84,0.9456018518518519
QMC,K-Nearest Neighbors,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9438657407407407
QMC,Support Vector Machine,0.75,1.0,0.375,0.5454545454545454,0.9467592592592592
QMC,AdaBoost,0.8666666666666667,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9444444444444444
QMC,Gradient Boosting,0.9,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9618055555555556
QMC,SEL-NNML,0.9333333333333333,0.8846153846153846,0.9583333333333334,0.92,0.9432870370370371
