Sampler,Base Models Training Time (seconds),Meta Model Training Time (seconds),Total Training Time (seconds)
TPE,49.62716460227966,87.61603283882141,137.24319744110107
GP,182.5392243862152,85.93063640594482,268.46986079216003
CMA-ES,46.424803495407104,80.5283453464508,126.95314884185791
QMC,40.27592945098877,71.22925209999084,111.50518155097961
